title,price,dimensions,engine_performance,year_built
Mayland Motorboot Mayland Sporty,"EUR 7.200,-",4.50 x 1.80 m,1 x 40 HP / 29 kW,1998
Beneteau Oceanis 40.1,"EUR 219.000,-",12.43 x 4.20 m,1 x 44 HP / 32 kW,2021
Malibu 23 MXZ,,7.01 x 2.59 m,N/A,2025
Bayliner 265sb,"EUR 30.000,-",8.50 x 2.57 m,1 x 260 HP / 191 kW,2003
Crownline E240 XS,,7.75 x 2.59 m,N/A,2024
Seaco 780,"EUR 49.000,-",7.86 x 2.50 m,1 x 250 HP / 184 kW,N/A
"Galeasen ""HAABET"" af Holbæk fra 1906","EUR 79.800,-",12.60 x 4.85 m,1 x 78 HP / 57 kW,1906
Galaxy P7,"EUR 64.079,-",6.50 x 2.50 m,1 x 150 HP / 110 kW,2024
Quicksilver 805 Weekend,"EUR 80.040,-",7.76 x 2.85 m,1 x 175 HP / 129 kW,2025
Cranchi Turchese 24,"EUR 24.500,-",7.40 x 2.47 m,1 x 330 HP / 243 kW,1994
Axis A225 by Malibu,"EUR 178.000,-",6.83 x 2.59 m,1 x 349 HP / 257 kW,2024
Sea Storm 17 Advantage mit 80PS,"EUR 23.679,-",5.18 x 1.97 m,1 x 80 HP / 59 kW,2025
Jeanneau MERRY FISHER 695 S2,"EUR 96.900,-",6.95 x 2.54 m,1 x 150 HP / 110 kW,2024
Sunseeker Predator 68,"EUR 1.095.000,-",21.69 x 5.11 m,2 x 1'200 HP / 883 kW,2017
Mercury F6 MH,"EUR 2.110,-",N/A,1 x 6.0 HP / 4.4 kW,N/A
Hafenliegeplatz in Romanshorn,Price on Request,11.00 x 3.45 m,N/A,N/A
Sirius 26,"EUR 10.000,-",7.90 x 2.75 m,1 x 10 HP / 7 kW,1979
RS Toura,,4.63 x 1.95 m,N/A,2024
Mercury F 4 MLH,"EUR 1.219,-",N/A,1 x 4.0 HP / 2.9 kW,2025
Yamaha 80 Cv,"EUR 6.200,-",N/A,1 x 80 HP / 59 kW,2009
Carver 504 Fly,"EUR 179.500,-",15.20 x 4.70 m,2 x 443 HP / 326 kW,1998
"Matthiessen & Paulsen 7,5KR","EUR 39.000,-",12.40 x 3.50 m,1 x 40 HP / 29 kW,1979
Bayliner Ciera 8,"EUR 120.600,-",8.15 x 2.55 m,1 x 250 HP / 184 kW,2025
Fairline Squadron 62,"EUR 199.000,-",19.80 x 5.20 m,2 x 820 HP / 603 kW,1992
